Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
21,zig,3,91-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u32-no-ht,271742,5.00006,6,base,yes,1,9057.95797
22,crystal,2,GordonBGood_extreme-hybrid,44336,5.00001,1,base,yes,1,8867.18936
23,go,2,ssovest-go-other-u64,42177,5.00121,1,other,yes,1,8433.36620
24,c,2,danielspaangberg_480of2310_owrb,41613,5.00007,1,wheel,yes,1,8322.47849
25,c,3,fvbakel_Cwords,41574,5.00005,1,other,yes,1,8314.71685
26,zig,3,83-ManDeJan&ityonemo&SpexGuy-zig-single-vecSieve,40608,5.00009,1,other,yes,1,8121.45381
27,go,2,ssovest-go-other-u32-seg-16k,40234,5.00093,1,other,yes,1,8045.29580
28,julia,4,GordonBGood_extremehybrid,39520,5.00007,1,base,yes,1,7903.88920
29,go,2,ssovest-go-other-u32-rblock-16k,38937,5.00133,1,other,yes,1,7785.33034
30,cython,1,ssovest-cy,37993,5.00000,1,other,yes,1,7598.59392
31,go,2,ssovest-go-other-u32-block-16k,36731,5.00136,1,other,yes,1,7344.19779
32,c,2,danielspaangberg_48of210_owrb,35307,5.00010,1,wheel,yes,1,7061.25736
33,rust,1,mike-barber_bit-extreme-hybrid,379220,5.00031,12,base,yes,1,6319.94217
34,rust,1,mike-barber_bit-unrolled-hybrid,378914,5.00041,12,base,yes,1,6314.72085
35,zig,3,94-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-5760of30030v,374771,5.00006,12,wheel,yes,1,6246.10838
36,lisp,2,mayerrobert-cl-wheel-bitvector,31120,5.01000,1,wheel,yes,1,6211.57685
37,zig,3,92-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-480of2310v,369194,5.00016,12,wheel,yes,1,6153.03644
38,c,1,mckoss-c830,30389,5.00000,1,wheel,yes,1,6077.80000
39,cpp,4,BlackMark-5760of30030-os-hs-maskedbits<u32>-gcc,29684,5.00005,1,wheel,yes,1,5936.74063
