Index Implementation Solution Label Passes Duration Threads Algorithm Faithful Bits PassesPerSecond
167 csharp 1 kinematics_bool2while 9358 5,00017 1 base yes 8 1871,53637
168 clojure 2 axvr_clj_8-bit 9334 5,00116 1 base yes 8 1866,36625
169 java 4 chrvanorleStrided32Blocks16k 111660 5,00700 12 base yes 1 1858,39824
170 kotlin 1 jvm_kotlin_idiomatic_fast_single 9250 5,00500 1 base yes 1 1848,15185
171 zig 3 49-ManDeJan&ityonemo&SpexGuy-zig-single-bitSieve-run-u64-find-u32 9117 5,00029 1 base yes 1 1823,29425
172 odin 1 odin_bit_moe 8976 5,00000 1 base yes 1 1795,20000
173 julia 3 louie-github_port_1of2 8795 5,00035 1 base yes 1 1758,87797
174 rexx 2 joss_NetRexx 8772 5,00005 1 base yes 8 1754,38316
175 c 2 danielspaangberg_8of30_par 34978 5,00002 4 wheel yes 1 1748,89126
176 kotlin 1 jvm_kotlin_traditional_single 8775 5,02000 1 base yes 1 1748,00797
177 haskell 1 fatho/bitset_unchecked 8731 5,00047 1 base no 1 1746,03587
178 lua 3 mooshua_luajit_hash 8716 5,00030 1 base no 8 1743,09507
179 mixed 4 mmcdon20_dart+c_1_bit 8677 5,00012 1 base yes 1 1735,35870
180 cpp 4 BlackMark-1of2-cs-hs-inv_stridedbits<u8>-gcc 104242 5,00643 12 base yes 1 1735,13528
181 go 3 zanicar-go 8655 5,00039 1 base yes 1 1730,86465
182 lisp 2 mayerrobert-cl-modulo 8652 5,01000 1 base yes 1 1726,94611
183 assemblyscript 2 maxgraey 8634 5,00000 1 base yes 1 1726,80000
184 amd64 1 dacvs1 8589 5,00016 1 base yes 1 1717,74675
185 python 3 emillynge_numpy 8336 5,00038 1 base no 8 1667,07413
186 chapel 1 GordonBGood_stride8_block16K 8132 5,00010 1 base yes 1 1626,36747
187 pascal 3 olivierbrun-1-threads 8129 5,00000 1 base yes 1 1625,80000
188 nim 1 marghidanu 8119 5,00012 1 base yes 8 1623,76082
189 zig 2 ManDeJan&ityonemo-zig-bit-sieve 7982 5,00010 1 base no 1 1596,36807
190 scala 1 rom1dep 7976 5,00000 1 base yes 1 1595,20000
191 rust 4 joshallen64 7972 5,00014 1 base yes 1 1594,35513
192 cpp 4 BlackMark-5760of30030-os-hs-inv_vec<u8>-gcc 92427 5,00103 12 wheel yes 8 1540,13273
193 cpp 4 BlackMark-5760of30030-os-hs-inv_vec<u8>-clang 91066 5,00104 12 wheel yes 8 1517,45104
194 rust 1 mike-barber_bit-rotate 90227 5,00066 12 base yes 1 1503,58488
195 zig 3 88-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-sieve-u8-92160of510510 89808 5,00018 12 wheel yes 8 1496,74612
196 chapel 1 GordonBGood_bittwiddle 7474 5,00007 1 base yes 1 1494,77907
197 d 2 BradleyChatha-MultistaticThreads-SieveCT-1bit 89459 5,00053 12 base no 1 1490,82531
198 cpp 4 BlackMark-1of2-cs-hs-inv_arr<bool>-gcc 89014 5,00150 12 base yes 8 1483,12173
199 cpp 2 davepl_par 88931 5,00074 12 base yes 1 1481,96400
200 lua 2 ben1jen_luajit1 7383 5,00000 1 base no 1 1476,60000
201 cpp 4 BlackMark-1of2-bs-hs-vec<u8>-gcc 88057 5,00112 12 base yes 8 1467,28799
202 pascal 1 rbergen 7297 5,00000 1 base yes 1 1459,40000
203 dart 1 eagerestwolf&mmcdon20_8bit 7224 5,00040 1 base yes 8 1444,68587
204 d 2 BradleyChatha-MultistaticThreads-SieveRTB1_32-1bit 84704 5,00048 12 base yes 1 1411,59782
205 go 4 kpym-go-multi 27956 5,00005 4 base yes 1 1397,78714
206 python 2 ssovest 6966 5,00012 1 base yes 8 1393,16680
207 julia 2 epithet-jl 6965 5,00041 1 base yes 1 1392,88689
208 java 4 chrvanorleI64PatternCalc 6930 5,00000 1 other yes 1 1386,00000
209 csharp 3 tannergooding 6893 5,00027 1 base yes 1 1378,52675
210 mixed 2 RobCannon_ps2 6854 5,00045 1 base no 1 1370,67664
211 java 3 MansenC-native 6819 5,00000 1 base yes 1 1363,80000
212 assembly 1 rbergen_x64uff_bitbtr 6785 5,00000 1 base no 1 1357,00000
213 d 1 eagerestwolf 6783 5,00000 1 base yes 8 1356,60000
214 c 2 danielspaangberg_1of2_epar 81085 5,00118 12 base yes 1 1351,09862
215 csharp 1 kinematics_poold2 6738 5,00044 1 base yes 1 1347,48142
216 assembly 1 rbergen_x64ff_bitbtr 6706 5,00000 1 base yes 1 1341,20000
217 nodejs 1 rogiervandam 6692 5,00020 1 base yes 1 1338,34717
218 zig 3 87-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-sieve-u8 80057 5,00110 12 base yes 8 1333,98986
219 csharp 1 kinematics_rawd2 6585 5,00073 1 base yes 1 1316,80775
220 julia 1 dcbi 6570 5,00040 1 base yes 1 1313,89462
221 typescript 2 mikevdbokke_byte-array 6547 5,00000 1 base yes 8 1309,40000
222 kotlin 1 jvm_kotlin_idiomatic_single 6546 5,00300 1 base yes 1 1308,41495
223 cpp 4 BlackMark-1of2-cs-hs-inv_arr<bool>-clang 77183 5,00126 12 base yes 8 1286,05925
224 lisp 2 mayerrobert-cl 6360 5,01000 1 base yes 1 1269,46108
225 java 4 chrvanorleI64PatternCalc 75959 5,01100 12 other yes 1 1263,20428
226 java 4 chrvanorleI32CUnroll 75450 5,01100 12 base yes 1 1254,73957
227 typescript 1 marghidanu 6264 5,00000 1 base yes 1 1252,80000
228 d 2 BradleyChatha-MultistaticThreads-SieveRT-1bit 74927 5,00064 12 base yes 1 1248,62351
229 c 2 danielspaangberg_1of2_par 24627 5,00015 4 base yes 1 1231,31232
230 cpp 4 BlackMark-1of2-bs-hs-vec<u8>-clang 73502 5,00082 12 base yes 8 1224,83246
231 rust 7 sergiocks 72635 5,00047 12 wheel yes 8 1210,47011
232 clojure 3 pez-clj-bitset 5948 5,00082 1 base yes 1 1189,40439
233 typescript 2 mikevdbokke_8bit-array 5794 5,00000 1 base yes 1 1158,80000
234 typescript 2 mikevdbokke_32bit-array 5755 5,00000 1 base yes 1 1151,00000
235 odin 1 odin_byte_threaded_moe 67826 5,00100 12 base yes 8 1130,20729
236 basic 1 rbergen_8of30 5606 5,00000 1 wheel yes 1 1121,20000
237 clojure 2 axvr_clj_1-bit 5525 5,00017 1 base yes 1 1104,96222
238 csharp 2 davepl 5524 5,00060 1 base yes 1 1104,66744
239 csharp 1 kinematics_bit2while 5423 5,00050 1 base yes 1 1084,49155
240 java 1 pez-bitset 5408 5,00000 1 base yes 1 1081,60000
241 umple 1 mmcdon20_umple 5273 5,00000 1 base yes 1 1054,60000
242 mixed 4 mmcdon20_dart+c_1_bit_par 62472 5,00088 12 base yes 1 1041,01636
243 fsharp 1 rbergen 5168 5,00075 1 base yes 1 1033,44467
244 odin 1 odin_bit_threaded_moe 60854 5,00500 12 base yes 1 1013,22011
245 go 1 bundgaard 5047 5,00061 1 base yes 1 1009,27646
246 cobol 1 fvbakel_Cobol 4935 5,00000 1 base no 8 987,00000
247 dart 1 eagerestwolf&mmcdon20_1bit 4815 5,00082 1 base yes 1 962,84209
248 pascal 3 olivierbrun-12-threads 56562 5,00100 12 base yes 1 942,51150
249 basic 2 rbergen_vb 4647 5,00182 1 base yes 1 929,06180
250 kotlin 1 jvm_kotlin_traditional_multi 53668 5,00000 12 base yes 1 894,46667
251 java 4 chrvanorleI8 4259 5,00100 1 base yes 1 851,62967
252 java 4 chrvanorleI32C 4255 5,00000 1 base yes 1 851,00000
253 java 4 chrvanorleI32 4252 5,00000 1 base yes 1 850,40000
254 kotlin 1 jvm_kotlin_idiomatic_fast_multi 50518 5,00000 12 base yes 1 841,96667
255 java 2 PratimGhosh86-JavaBitSet 4200 5,00000 1 base yes 1 840,00000
256 java 4 chrvanorleI32 48831 5,00300 12 base yes 1 813,36198
257 java 4 chrvanorleI32C 48844 5,01200 12 base yes 1 812,11758
258 java 4 chrvanorleI64 4055 5,00000 1 base yes 1 811,00000
259 java 4 chrvanorleI64C 4048 5,00000 1 base yes 1 809,60000
260 java 4 chrvanorleI64 45966 5,01200 12 base yes 1 764,26576
261 java 4 chrvanorleI64C 45957 5,01300 12 base yes 1 763,96369
262 d 2 BradleyChatha-Single-SieveRTBX-64bit 3736 5,00076 1 base yes 64 747,08644
263 java 4 chrvanorleI8 44218 5,01000 12 base yes 1 735,49568
264 rust 3 Blui42 3632 5,00073 1 base yes 1 726,29410
265 kotlin 1 jvm_kotlin_idiomatic_multi 43206 5,00000 12 base yes 1 720,10000
266 kotlin 1 native_kotlin_idiomatic_fast_single 3420 5,00200 1 base yes 1 683,72651
267 kotlin 1 native_kotlin_traditional_single 3391 5,00200 1 base yes 1 677,92883
268 nodejs 1 rogiervandam 40434 5,07435 12 base yes 1 664,02636
269 cpp 4 BlackMark-1of2-cs-hs-inv_stridedbits<u8>-clang 3318 5,00050 1 base yes 1 663,53365
270 standardml 1 NotMatthewGriffin_SML 3192 5,00000 1 base yes 1 638,40000
271 pascal 2 circular17 3089 5,00000 1 base yes 1 617,80000
272 kotlin 1 native_kotlin_idiomatic_single 2947 5,00200 1 base yes 1 589,16433
273 dart 1 eagerestwolf&mmcdon20_8bit_par 32769 5,00089 12 base yes 8 546,05302
274 dart 1 eagerestwolf&mmcdon20_1bit_par 31775 5,00090 12 base yes 1 529,48845
275 java 2 PratimGhosh86-JavaBitSetMT 31502 5,00000 12 base yes 1 525,03333
276 mixed 3 1mikegrn/CPython 2505 5,00039 1 base no 32 500,96118
277 pony 1 marghidanu 2259 5,00000 1 base yes 1 451,80000
278 kotlin 1 js_kotlin_idiomatic_single 2167 5,00600 1 base yes 1 432,88054
279 kotlin 1 js_kotlin_idiomatic_fast_single 2140 5,00500 1 base yes 1 427,57243
280 kotlin 1 js_kotlin_traditional_single 2119 5,00500 1 base yes 1 423,37662
281 pdl 2 Luis_Mochán_(wlmb)_Perl/PDL-PP 2069 5,00077 1 base yes 8 413,73662
282 octave 1 octave 1915 5,00171 1 base no 1 382,86906
283 basic 1 rbergen_boolean 1805 5,00200 1 base yes 1 360,85566
284 cpp 4 BlackMark-1of2-cs-hs-inv_stridedbits<u8>-clang 19469 5,00298 12 base yes 1 324,29006
285 zig 3 85-ManDeJan&ityonemo&SpexGuy-zig-parallel-amdahl-sieve-u8 18756 5,00006 12 base yes 8 312,59625
286 lean4 1 badly-drawn-wizards 1547 5,00000 1 base yes 8 309,40000
287 rust 5 kulasko-rust-tile-bool-u8 17152 5,00004 12 base yes 8 285,86464
288 r 2 nobrien97 1216 5,00000 1 base no 32 243,20000
289 basic 1 rbergen_bit64 1207 5,00300 1 base yes 1 241,25525
290 pdl 1 Luis_Mochán_(wlmb)_Perl/PDL 1170 5,00062 1 base yes 8 233,97080
291 lua 3 mooshua_luajit_slow_hash 1169 5,00035 1 base no 64 233,78349
292 basic 1 rbergen_bit32 1159 5,00300 1 base yes 1 231,66100
293 rust 5 kulasko-rust-tile-stripe-u8192 12683 5,00027 11 base yes 1 230,58774
294 r 1 fvbakel_R 1135 5,00500 1 base yes 32 226,77323
295 ocaml 2 gkpotter-unfaithful 1006 5,00806 1 base no 1 200,87615
296 lua 3 mooshua_luajit_slow_ffi 995 5,00291 1 base no 8 198,88441
297 rust 5 kulasko-rust-tile-rotate-u8 11876 5,00008 12 base yes 1 197,93012
